"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1628","login test","normal-tests","2026-07-13","passed","2026-07-13","","pipeline/test.spec.js","",""
"","2093","login test","normal-tests","2026-07-13","passed","2026-07-13","","pipeline/reg.spec.js","",""
"","232","Flaky demo @flaky","flaky-tests","2026-07-13","passed","2026-07-13","","pipeline/Retrylogic.spec.js","",""
"","6919","valid login","normal-tests","2026-07-13","failed","2026-07-13","Login Tests","pipeline/login.spec.js","",""
